file_path,file_size,commits_count
.dockerignore,360,2
.editorconfig,87,1
.eslintignore,42,4
.eslintrc.json,3113,42
.github/FUNDING.yml,615,4
.github/ISSUE_TEMPLATE/bug_report.yaml,4227,35
.github/ISSUE_TEMPLATE/config.yml,236,2
.github/labeler.yml,312,3
.github/pull_request_template.md,1547,20
.github/workflows/ci-failure-comment.yml,1222,1
.github/workflows/labeler.yml,267,2
.github/workflows/monkey-ci.yml,4954,16
.github/workflows/pretty-fix.yml,1274,9
.github/workflows/publish-docker-images.yml,3013,2
.github/workflows/semantic-pr-title.yml,1673,2
.github/workflows/stale-pr.yml,328,2
.gitignore,2051,61
.husky/commit-msg,268,2
.husky/pre-commit,72,1
.husky/pre-push,474,3
.npmrc,35,2
.nvmrc,7,5
.prettierignore,193,14
.prettierrc,219,3
.release-it-fe.json,676,8
.release-it.json,705,13
.vscode/extensions.json,119,3
CODE_OF_CONDUCT.md,5478,8
CONTRIBUTING.md,5007,88
CONTRIBUTING_ADVANCED.md,9529,29
CONTRIBUTING_BASIC.md,6796,5
LANGUAGES.md,3688,9
LICENSE,35149,1
QUOTES.md,2063,5
README.md,2860,62
SECURITY.md,955,5
SELF_HOSTING.md,6689,5
THEMES.md,3068,9
backend/.gitignore,56,6
backend/__migration__/testActivity.ts,6411,4
backend/__tests__/__migration__/testActivity.spec.ts,2075,1
backend/__tests__/__testData__/users.ts,910,1
backend/__tests__/api/controllers/leaderboard.spec.ts,861,2
backend/__tests__/api/controllers/result.spec.ts,7505,3
backend/__tests__/api/controllers/user.spec.ts,19598,13
backend/__tests__/dal/ape-keys.spec.ts,532,1
backend/__tests__/dal/blocklist.spec.ts,10678,1
backend/__tests__/dal/leaderboards.spec.ts,10855,8
backend/__tests__/dal/public.spec.ts,1089,3
backend/__tests__/dal/result.spec.ts,3606,8
backend/__tests__/dal/user.spec.ts,20619,23
backend/__tests__/global-setup.ts,306,1
backend/__tests__/middlewares/auth.spec.ts,7545,5
backend/__tests__/services/weeky-xp-leaderboard.spec.ts,740,1
backend/__tests__/setup-tests.ts,2244,5
backend/__tests__/tsconfig.json,630,5
backend/__tests__/utils/daily-leaderboards.spec.ts,1802,7
backend/__tests__/utils/misc.spec.ts,14364,12
backend/__tests__/utils/monkey-mail.spec.ts,527,2
backend/__tests__/utils/pb.spec.ts,2795,2
backend/__tests__/utils/validation.spec.ts,4115,4
backend/docker/compose.db-only.yml,454,3
backend/docker/compose.yml,940,2
backend/email-templates/reset-password.html,4194,1
backend/email-templates/verification.html,4158,1
backend/example.env,697,10
backend/knip.json,59,1
backend/package-lock.json,338748,50
backend/package.json,2454,57
backend/private/index.html,4591,1
backend/private/script.js,7673,5
backend/private/style.css,3274,4
backend/redis-scripts/add-result-increment.lua,699,1
backend/redis-scripts/add-result.lua,1349,1
backend/redis-scripts/get-results.lua,710,2
backend/redis-scripts/purge-results.lua,667,1
backend/src/anticheat/index.ts,303,4
backend/src/api/controllers/admin.ts,2460,2
backend/src/api/controllers/ape-key.ts,2449,3
backend/src/api/controllers/config.ts,607,1
backend/src/api/controllers/configuration.ts,1011,1
backend/src/api/controllers/leaderboard.ts,5321,8
backend/src/api/controllers/preset.ts,1185,2
backend/src/api/controllers/psa.ts,253,4
backend/src/api/controllers/public.ts,673,2
backend/src/api/controllers/quote.ts,4675,5
backend/src/api/controllers/result.ts,23020,85
backend/src/api/controllers/user.ts,28825,98
backend/src/api/controllers/webhooks.ts,506,2
backend/src/api/routes/admin.ts,2143,8
backend/src/api/routes/ape-keys.ts,2107,4
backend/src/api/routes/configs.ts,712,2
backend/src/api/routes/configuration.ts,984,6
backend/src/api/routes/index.ts,3886,15
backend/src/api/routes/leaderboards.ts,3374,7
backend/src/api/routes/presets.ts,1672,4
backend/src/api/routes/psas.ts,329,2
backend/src/api/routes/public.ts,924,2
backend/src/api/routes/quotes.ts,4181,16
backend/src/api/routes/results.ts,2007,9
backend/src/api/routes/swagger.ts,1232,8
