contributor,min,max,active_days
00050,2021-07-15 14:17:56+00:00,2021-07-15 14:17:56+00:00,0
0x1a1a1a,2022-06-13 07:16:15+00:00,2022-06-13 11:49:49+00:00,0
0x8b,2021-03-20 12:09:20+00:00,2021-04-14 19:21:16+00:00,25
15696,2021-01-28 17:27:19+00:00,2021-01-28 17:27:19+00:00,0
16ur,2024-01-21 17:20:04+00:00,2024-01-21 17:20:04+00:00,0
17steen,2020-10-21 23:11:25+00:00,2020-10-21 23:11:25+00:00,0
18praneeth,2020-12-01 11:40:10+00:00,2020-12-01 11:40:10+00:00,0
1rre,2022-04-28 09:41:54+00:00,2022-04-28 09:41:54+00:00,0
2307vivek,2023-07-07 20:26:46+00:00,2023-07-07 20:26:46+00:00,0
3coma3,2022-04-13 16:09:17+00:00,2022-04-13 16:09:17+00:00,0
3tch-a-sketch,2024-01-13 17:44:40+00:00,2024-01-13 17:44:40+00:00,0
413x1,2022-11-29 02:36:20+00:00,2022-11-29 02:36:20+00:00,0
4rivappa,2023-03-16 21:46:01+00:00,2023-04-04 19:39:52+00:00,18
4shutosh,2021-04-22 11:12:58+00:00,2021-09-26 06:28:50+00:00,156
50an6xy06r6n,2021-06-19 20:49:22+00:00,2021-06-19 20:49:22+00:00,0
71xn,2021-04-06 11:57:12+00:00,2021-04-06 11:57:12+00:00,0
735l4,2021-05-27 02:00:52+00:00,2021-05-27 02:00:52+00:00,0
766F6964,2020-12-23 05:00:54+00:00,2020-12-23 05:00:54+00:00,0
8xu,2023-05-15 15:33:25+00:00,2023-05-15 15:33:25+00:00,0
A9qx,2023-10-21 05:05:23+00:00,2023-10-21 05:18:32+00:00,0
AAR072,2022-07-20 05:19:12+00:00,2022-07-20 05:19:12+00:00,0
ABHISHEK VALSAN,2022-01-31 21:24:51+00:00,2022-01-31 21:24:51+00:00,0
ABHISHEKVALSAN,2022-01-31 20:30:23+00:00,2022-01-31 20:30:23+00:00,0
AJ-Williams1,2020-12-18 19:29:15+00:00,2020-12-18 19:29:15+00:00,0
AOTREVAI,2022-08-27 13:44:29+00:00,2022-09-08 12:06:34+00:00,11
